cluster,voorhees_nn,overlap,kl_divergence,density,nmrd
Refund_not_showing_up,1.0,0.42469653487205505,7.816286217886345,0.047540983606557376,0.846454396449909
activate_my_card,1.0,0.5070931613445282,7.239839134048017,0.049925800296798814,0.925515837079404
age_limit,1.0,0.43969520926475525,8.343106450813258,0.06637700534759358,0.9474901210179622
apple_pay_or_google_pay,1.0,0.33847399055957794,7.040383615551628,0.06565199919630299,0.8551614097824626
atm_support,1.0,0.32346390187740326,9.232126081165243,0.06913890634820867,0.7710683795790398
automatic_top_up,1.0,0.4413162097334862,7.818668513875158,0.05774278215223097,0.8141070564454134
balance_not_updated_after_bank_transfer,0.9,0.28439655900001526,8.756623224784148,0.05402184707050645,0.6137789132101318
balance_not_updated_after_cheque_or_cash_deposit,1.0,0.33692365884780884,8.28389401510462,0.05347810320186011,0.8486540253806868
beneficiary_not_allowed,1.0,0.2902209609746933,8.247899241259814,0.04499320124320124,0.7068558454005219
cancel_transfer,1.0,0.34191179275512695,7.600150293528094,0.05091871691061974,0.8433526007783416
card_about_to_expire,1.0,0.4144251346588135,7.579117680965094,0.06873385012919897,0.8521346663768019
card_acceptance,0.9,0.3180607259273529,8.053722777812855,0.08398400304703867,0.6879430533781185
card_arrival,1.0,0.34151530265808105,8.271569994602393,0.06034351725186198,0.7301661748348424
card_delivery_estimate,0.6,0.31634628772735596,8.91043477110705,0.05483906525573192,0.7117517032912897
card_linking,1.0,0.3672928363084793,6.849637968357125,0.06768549657315567,0.7841122764673745
card_not_working,1.0,0.370552122592926,7.902224686470886,0.05215985215985216,0.7553254234069543
card_payment_fee_charged,1.0,0.3716931939125061,7.682936754120409,0.04527014567582519,0.8260681470675071
card_payment_not_recognised,1.0,0.26959675550460815,7.601251414278692,0.05391091797935904,0.6894342889713668
card_payment_wrong_exchange_rate,1.0,0.43920476734638214,7.409219798522643,0.05110595136258096,0.8363950499492926
card_swallowed,1.0,0.4392167925834656,6.389513889488115,0.09619548407052274,0.8917120258699246
cash_withdrawal_charge,1.0,0.35461461544036865,8.104682594283691,0.05058869193944883,0.8436588080945361
cash_withdrawal_not_recognised,1.0,0.2477080225944519,8.275857597901034,0.05014982876712329,0.6520047175953076
change_pin,1.0,0.4982995092868805,6.449838426143296,0.05442673850509109,0.9413237042187078
compromised_card,0.8,0.29104870557785034,7.7107251477879055,0.05928668265721139,0.6245815837611819
contactless_not_working,1.0,0.3000408560037613,8.755255265537565,0.08692493946731235,0.6981976879623354
country_support,1.0,0.30652959644794464,8.574418869445818,0.054638671875,0.8199414815012698
declined_card_payment,1.0,0.34186407923698425,7.717458950415854,0.04888567448837459,0.7472922166328748
declined_cash_withdrawal,1.0,0.322130024433136,8.349987517621955,0.050506604540759135,0.7256121450109133
declined_transfer,1.0,0.3989865779876709,8.516052813255106,0.0470134558582212,0.7410629295935764
direct_debit_payment_not_recognised,1.0,0.27912354469299316,7.65519669949894,0.05041580041580042,0.7435089172808795
disposable_card_limits,1.0,0.5207021534442902,8.084254698303562,0.0639811723496251,0.873434965890796
edit_personal_details,1.0,0.39711546152830124,7.082718844053339,0.06078971533516988,0.940007441664356
exchange_charge,1.0,0.4700694978237152,9.08933189037311,0.055891078618351346,0.8770117780615305
exchange_rate,0.9,0.5429837107658386,8.048462310673228,0.054584599797365754,0.8899752914803783
exchange_via_app,1.0,0.39693689346313477,8.319575220816608,0.06760253590373916,0.8108732425353903
extra_charge_on_statement,1.0,0.33101609349250793,8.18201544536156,0.056168335313083316,0.765447343136019
