cluster,voorhees_nn,overlap,kl_divergence,density,nmrd
Business,1.0,0.08140973374247551,10.1092617481522,0.0011711844660194175,0.7463399982360255
Sci/Tech,0.9,0.05874941125512123,10.32954797202598,0.0009610351707912683,0.7198998382796808
Sports,1.0,0.1082090325653553,10.104964506510242,0.0010428321715589095,0.8863912004182168
World,1.0,0.07200886867940426,10.023407022257791,0.0010869167917291979,0.7655509645433605
