cluster,voorhees_nn,overlap,kl_divergence,density,nmrd
business,1.0,0.13134583830833435,7.495224031181163,0.015801324307108892,0.8147931059532019
entertainment,1.0,0.10018700733780861,7.694680695577742,0.015822601364611697,0.8111438949281936
politics,1.0,0.1938476413488388,6.881688071669072,0.02049048760991207,0.8897211338525725
sport,1.0,0.20812247693538666,7.412371650546685,0.017439049326731928,0.9631213153465488
tech,1.0,0.14029017090797424,7.056399633380132,0.020808654373957933,0.8378313039980285
